RYGL-0300|人员管理|人員管理|Employee Manager
RYGL-2360|现居住地区|現居住地區|Living Area
RYGL-2361|联系方式|聯繫方式|Contact
RYGL-2362|学生管理|學生管理|Student Management
RYGL-2363|增加学生|增加學生|To increase students
RYGL-2364|班级|班級|Class
RYGL-2365|当前单位|當前單位|Current unit
RYGL-2366|浏览人员信息|流覽人員資訊|Browse personnel information
RYGL-2367|办理人员如下 |辦理人員如下|Processing staff as follows
RYGL-2368|变更后人员类别 |變更後人員類別|Category of personnel after the change
RYGL-2369|人员唯一标识 |人員唯一標識|Uniquely identifies staff
RYGL-2370|多人信息维护|多人資訊維護|Information maintenance people
RYGL-2371|以下人员要办理|以下人員要辦理|The following personnel should handle
RYGL-2372|注意只有审批后才生效|注意只有審批後才生效|Note that only take effect after approval
RYGL-2373|减员类别|減員類別|Attrition categories
RYGL-2374|减员日期|減員日期|Date of attrition
RYGL-2375|来往单位|来往單位|Variable between units
RYGL-2376|以下人员要办理审批业务|以下人員要辦理審批業務|The following personnel to handle the approval of business
RYGL-2377|自动通知|自動通知|Automatic notification
RYGL-2378|自动发送|自動發送|Automatic transmission
RYGL-2379|接收集团内其他单位调入|接收集團內其他單位調入|Transferred to other units within the group receiving
RYGL-2380|接收处理|接收處理|Receiving and processing
RYGL-2381|工人减少审批|工人減少審批|Fewer workers approve
RYGL-2382|当前选择机构|當前選擇機構|Currently selected institutions
RYGL-2383|所属单位|所屬單位|Affiliation
RYGL-2384|减少类别|減少類別|Reduce class
RYGL-2385|审批状态|審批狀態|Approval Status
RYGL-2386|干部减少审批|幹部減少審批|Cadres to reduce approval
RYGL-2387|人员调配 待审批减少人员|人員調配 待審批減少人員|Pending deployment of personnel to reduce personnel
RYGL-2388|退出后备人才|退出後備人才|Exit Reserve
RYGL-2389|选择指标项|選擇指標項|Select items of indexes
RYGL-2390|调往集团内其他单位|調往集團內其他單位|Transferred to other units within the group
RYGL-2391|统计时间|統計時間|Statistical time
RYGL-2392|选择过滤条件|選擇過濾條件|Select filter
RYGL-2393|全部|全部|All
RYGL-2394|汇总|匯總|Summary
RYGL-2395|全部项目|全部專案|All items
RYGL-2396|已选项目|已選項目|Selected projects
RYGL-2397|项目团队名称|項目團隊名稱|Name of the project team
RYGL-2398|应用范围|應用範圍|Applications
RYGL-2399|机构|机构|Agencies
RYGL-2400|岗位|崗位|Post
RYGL-2401|时间|時間|Time
RYGL-2402|新类别|新類別|New category
RYGL-2403|待审批人员|待審批人員|Pending personnel
RYGL-2404|增加用户 |增加用戶|Add user
RYGL-2405|登陆名 |登陸名|Login Name
RYGL-2406|非领导职务 |非領導職務|Non-leadership positions
RYGL-2407|总经理|總經理|General Manager
RYGL-2408|副总经理|副總經理|Deputy General Manager
RYGL-2409|总经理助理|總經理助理|Assistant General Manager
RYGL-2410|非领导职务|非領導職務|Non-leadership positions
RYGL-2411|相关数据|相關資料|Data
RYGL-2412|计算方法|計算方法|Calculation
RYGL-2413|计算精度|計算精度|Accuracy
RYGL-2414|不足一年时的处理规则|不足一年時的處理規則|Processing rules when less than one year
RYGL-2415|计算规则|計算規則|Calculation rules
RYGL-2416|根据姓名信息(A001001)产生简拼(A001002),仅抽取每个字的第一个字母|根據姓名資訊(A001001)產生簡拼(A001002),僅抽取每個字的第一個字母|Information based on names (A001001)have Jianpin (A001002),taking only the first letter of each word
RYGL-2417|输入查询时间|輸入查詢時間|Enter the query time
RYGL-2418|选择人员|選擇人員|Selection of personnel
RYGL-2419|人员名单|人員名單|List of
RYGL-2420|查询条件|查詢準則|Query
RYGL-2421|新机构|新機構|New department
RYGL-2422|原岗位|原崗位|Original position
RYGL-2423|原部门|原部門|Primary sector
RYGL-2424|薪资调整日期|薪資調整日期|Date of salary adjustment
RYGL-2425|人事生效日期|人事生效日期|Effective Date of Personnel
RYGL-2426|试用期(月)|試用期(月)|Trial period (months)
RYGL-2430|转正月数|轉正月數|Turned positive in January
RYGL-2431|生效|生效|Has turned positive
RYGL-2432|修改人员排序信息,默认排序是人员入库顺序|修改人員排序資訊,預設排序是人員入庫順序|Modify the staff sort of information,the default sort order is the personnel storage
RYGL-2433|按姓名排序|按姓名排序|Sort by name
RYGL-2434|已选择人员列表|已選擇人員列表|List of people who have chosen
RYGL-2435|共有|共有|Total
RYGL-2436|人|人|People
RYGL-2437|拟报资格|擬報資格|Eligible to be reported
RYGL-2438|拟报专业|擬報專業|Professional to be reported
RYGL-2439|拟报等级|擬報等級|Level to be reported
RYGL-2440|总分|總分|Total
RYGL-2441|通过轮次|通過輪次|By round
RYGL-2442|第一轮|第一輪|The first round
RYGL-2443|第二轮|第二輪|Second round
RYGL-2444|年度|年度|Year
RYGL-2445|申报人数|申報人數|Number of reported
RYGL-2446|职称管理|職稱管理|Title Management
RYGL-2447|部门评审|部門評審|Departmental assessment
RYGL-2448|查看信息集|查看信息集|View information set
RYGL-2449|查看信息项|查看信息項|View information items
RYGL-2450|过滤字段|過濾欄位|Filtration column
RYGL-2451|过滤字段值|過濾欄位值|Field value filtering
RYGL-2452|过滤模式|過濾模式|Filter Pattern
RYGL-2453|选择指标集|選擇指標集|Select index set
RYGL-2454|选择项|選擇項|Selection
RYGL-2455|职称申报|職稱申報|Title report
RYGL-2456|打分|打分|Scoring
RYGL-2457|申报资格|申報資格|Declared eligible for
RYGL-2458|申报专业|申報專業|Professional reporting
RYGL-2459|拟申报等级|擬申報等級|To be declared class
RYGL-2460|分数|分數|Score
RYGL-2461|审批情况|審批情況|Approval conditions
RYGL-2462|职称个人申报管理|職稱個人申報管理|Individual titles and reporting management
RYGL-2463|申报信息|申報資訊|Reporting information
RYGL-2464|个人基本信息|個人基本資訊|Basic personal information
RYGL-2465|工作经历|工作經歷|Work experience
RYGL-2466|成果奖励|成果獎勵|Outcome
RYGL-2467|论文作品|論文作品|Paper work
RYGL-2468|打分结果|打分結果|Scoring results
RYGL-2469|排除原因|排除原因|Excluded because
RYGL-2470|部门名称|部門名稱|Department Name
RYGL-2471|退回原因|退回原因|Reason for the return
RYGL-2472|评审时间|評審時間|Review time
RYGL-2473|评审团|評審團|Jury
RYGL-2474|权重模式名称|權重模式名稱|Weight model name
RYGL-2475|专家打分分数线|專家打分分數線|Expert scoring score
RYGL-2476|专家权重(%)|專家權重(%)|Expert weights (%)
RYGL-2477|部门打分权重(%)|部門打分權重(%)|Sector weighting rate (%)
RYGL-2478|权重模式名称|權重模式名稱|Weight model name
RYGL-2479|专业名称|專業名稱|Professional Title
RYGL-2480|技术级别|專業技術級別|Technical level
RYGL-2481|专业技术岗位管理|專業技術崗位管理|Management of professional and technical posts
RYGL-2482|专业技术等级|专业技术等级|Professional and technical levels
RYGL-2483|专业|專業|Professional
RYGL-2484|职称变动|職稱變動|Title Change
RYGL-2485|职称评审权重管理|職稱評審權重管理|Weight Management Review Title
RYGL-2486|部门权重列表|部門權重列表|Sector weighting list
RYGL-2487|职称级别|職稱級別|Title level
RYGL-2488|专家最多通过数|專家最多通過數|Most experts through several
RYGL-2489|打分低限|打分低限|Low scoring
RYGL-2490|打分高限|打分高限|Scoring high limit
RYGL-2491|进入第二轮最少专家数|進入第二輪最少專家|At least a few experts in the second round
RYGL-2492|最少通过专家数|最少通過專家數|At least by the number of experts
RYGL-2493|模式名称|模式名稱|Model Name
RYGL-2494|权重(%)|權重(%)|Weight (%)
RYGL-2495|部门权重设置|部門權重設置|Sector weighting set
RYGL-2496|选择部门|選擇部門|Select Sector
RYGL-2497|原等级|原等級|The original level
RYGL-2498|新等级|新等級|New Level
RYGL-2499|原专业|原專業|Former professional
RYGL-2500|新专业|新專業|New professional
RYGL-2501|原资格|原資格|The original qualification
RYGL-2502|新资格|新資格|New qualification
RYGL-2503|评审权重模式|評審權重模式|Weight model assessment
RYGL-2504|实习员工转正审批|實習員工轉正審批|Practice positive staff approval
RYGL-2505|实习转正审批|實習轉正審批|Internship to positive approval
RYGL-2506|转正后员工类别|轉正後員工類別|Passing probation staff category
RYGL-2507|当前员工类别|當前員工類別|The current staff category
RYGL-2508|实习转正式管理|實習轉正式管理|Formal management training transfer
RYGL-3001|离职死亡|離職死亡|Die




